sku_id,period,week_start,forecast_step,forecast_units,forecast_lo80,forecast_hi80
NBL-1046,2026-07-21/2026-07-27,2026-07-27,3.0,135.0,116.17849100534788,153.82150899465213
NBL-1047,2026-07-21/2026-07-27,2026-07-27,3.0,592.0,551.4250869807221,632.5749130192779
NBL-1048,2026-07-21/2026-07-27,2026-07-27,3.0,528.0,496.99727654771823,559.0027234522818
NBL-1049,2026-07-21/2026-07-27,2026-07-27,3.0,309.0,273.8864607896315,344.1135392103685
NBL-1050,2026-07-21/2026-07-27,2026-07-27,3.0,112.0,100.9527471833545,123.0472528166455
NBL-1051,2026-07-21/2026-07-27,2026-07-27,3.0,224.0,198.9557343754752,249.0442656245248
NBL-1052,2026-07-21/2026-07-27,2026-07-27,3.0,634.0,596.1863868036688,671.8136131963312
NBL-1053,2026-07-21/2026-07-27,2026-07-27,3.0,280.0,249.19230798242512,310.8076920175749
NBL-1054,2026-07-21/2026-07-27,2026-07-27,3.0,344.5330554255531,316.069529978544,372.99658087256216
NBL-1055,2026-07-21/2026-07-27,2026-07-27,3.0,266.6108747671359,237.71203869772083,295.509710836551
NBL-1056,2026-07-21/2026-07-27,2026-07-27,3.0,72.5689028646467,61.84583013224823,83.29197559704517
NBL-1057,2026-07-21/2026-07-27,2026-07-27,3.0,187.41835335813974,170.60795292295433,204.22875379332515
NBL-1058,2026-07-21/2026-07-27,2026-07-27,3.0,169.71638287888473,143.7110931637662,195.72167259400325
NBL-1059,2026-07-21/2026-07-27,2026-07-27,3.0,183.19363073938942,164.95570748133073,201.4315539974481
NBL-1060,2026-07-21/2026-07-27,2026-07-27,3.0,336.70537342080365,302.2577880806091,371.1529587609982
NBL-1061,2026-07-21/2026-07-27,2026-07-27,3.0,281.9554906166924,258.4503336793054,305.46064755407934
NBL-1062,2026-07-21/2026-07-27,2026-07-27,3.0,254.44778024626024,232.4687685598904,276.42679193263007
NBL-1063,2026-07-21/2026-07-27,2026-07-27,3.0,551.0398277937736,519.3980042618363,582.681651325711
NBL-1064,2026-07-21/2026-07-27,2026-07-27,3.0,31.014625284587154,23.026253892464553,39.002996676709756
NBL-1065,2026-07-21/2026-07-27,2026-07-27,3.0,91.03895204429992,77.64812846933097,104.42977561926887
NBL-1066,2026-07-21/2026-07-27,2026-07-27,3.0,258.57405131525894,231.46789511251148,285.6802075180064
NBL-1067,2026-07-21/2026-07-27,2026-07-27,3.0,8.704962400989256,6.451952230979828,10.957972570998685
NBL-1068,2026-07-21/2026-07-27,2026-07-27,3.0,49.97809477655573,36.25503099501479,63.701158558096665
NBL-1069,2026-07-21/2026-07-27,2026-07-27,3.0,300.5951203816954,270.81001723554607,330.3802235278447
NBL-1070,2026-07-21/2026-07-27,2026-07-27,3.0,185.99908218887697,164.71916516403957,207.27899921371437
NBL-1071,2026-07-21/2026-07-27,2026-07-27,3.0,157.09848898847238,137.8967927215849,176.30018525535988
NBL-1072,2026-07-21/2026-07-27,2026-07-27,3.0,36.558669483730384,28.75601789119091,44.36132107626986
NBL-1073,2026-07-21/2026-07-27,2026-07-27,3.0,287.3127965707768,255.94367201596577,318.68192112558785
NBL-1074,2026-07-21/2026-07-27,2026-07-27,3.0,59.6544386535601,49.221888011537544,70.08698929558265
NBL-1075,2026-07-21/2026-07-27,2026-07-27,3.0,264.4467498999796,237.0558907997794,291.8376090001798
NBL-1076,2026-07-21/2026-07-27,2026-07-27,3.0,79.00445371210496,62.64265123823833,95.3662561859716
NBL-1077,2026-07-21/2026-07-27,2026-07-27,3.0,426.2020754146043,394.50715416718765,457.8969966620209
NBL-1078,2026-07-21/2026-07-27,2026-07-27,3.0,11.240241788054187,5.321907285960165,17.158576290148208
NBL-1079,2026-07-21/2026-07-27,2026-07-27,3.0,279.6481546569741,250.85375957874277,308.44254973520543
NBL-1080,2026-07-21/2026-07-27,2026-07-27,3.0,32.891425323795,25.675058105855484,40.10779254173451
NBL-1081,2026-07-21/2026-07-27,2026-07-27,3.0,38.4329558004543,30.900609868039012,45.96530173286959
NBL-1082,2026-07-21/2026-07-27,2026-07-27,3.0,290.41409705835207,260.91444282011577,319.9137512965884
NBL-1083,2026-07-21/2026-07-27,2026-07-27,3.0,536.6643058070464,496.85282176737616,576.4757898467166
NBL-1084,2026-07-21/2026-07-27,2026-07-27,3.0,72.9852801170146,59.76678192486264,86.20377830916655
NBL-1085,2026-07-21/2026-07-27,2026-07-27,3.0,73.43516271021478,58.2638748243104,88.60645059611917
NBL-1086,2026-07-21/2026-07-27,2026-07-27,3.0,330.26749179608066,292.4763973142113,368.05858627795004
NBL-1087,2026-07-21/2026-07-27,2026-07-27,3.0,739.215851412057,702.7868450823103,775.6448577418037
NBL-1088,2026-07-21/2026-07-27,2026-07-27,3.0,47.29490906325686,36.73205922223794,57.85775890427578
NBL-1089,2026-07-21/2026-07-27,2026-07-27,3.0,126.94877866789685,106.9443482110756,146.9532091247181
NBL-1090,2026-07-21/2026-07-27,2026-07-27,3.0,46.25266234816924,34.68050125729485,57.82482343904363
NBL-1091,2026-07-21/2026-07-27,2026-07-27,3.0,223.32941691406762,203.3554130280321,243.30342080010314
NBL-1092,2026-07-21/2026-07-27,2026-07-27,3.0,82.92035893360877,69.00669074701811,96.83402712019942
NBL-1093,2026-07-21/2026-07-27,2026-07-27,3.0,294.8047026640553,264.40809783862807,325.20130748948253
NBL-1094,2026-07-21/2026-07-27,2026-07-27,3.0,38.69226177464399,28.716872112502767,48.667651436785206
NBL-1095,2026-07-21/2026-07-27,2026-07-27,3.0,621.145960671023,581.636377553708,660.6555437883379
NBL-1096,2026-07-21/2026-07-27,2026-07-27,3.0,503.5670645384024,468.76195109283174,538.3721779839731
NBL-1097,2026-07-21/2026-07-27,2026-07-27,3.0,592.6036946598134,565.2573640532397,619.9500252663871
NBL-1098,2026-07-21/2026-07-27,2026-07-27,3.0,193.6490122032307,175.77125775253563,211.5267666539258
NBL-1099,2026-07-21/2026-07-27,2026-07-27,3.0,33.34164811278722,23.151154206899676,43.53214201867476
NBL-1100,2026-07-21/2026-07-27,2026-07-27,3.0,177.69272646683814,159.49714083271496,195.88831210096131
NBL-1101,2026-07-21/2026-07-27,2026-07-27,3.0,169.227459443455,152.5481633411914,185.90675554571857
NBL-1102,2026-07-21/2026-07-27,2026-07-27,3.0,661.3095056607023,625.6336003364615,696.985410984943
NBL-1103,2026-07-21/2026-07-27,2026-07-27,3.0,146.54616959880804,127.21523000578,165.87710919183607
NBL-1104,2026-07-21/2026-07-27,2026-07-27,3.0,51.008082199096336,40.30356065598267,61.71260374221
NBL-1105,2026-07-21/2026-07-27,2026-07-27,3.0,357.9325343680755,329.2481281204624,386.6169406156886
NBL-1106,2026-07-21/2026-07-27,2026-07-27,3.0,98.64440886012544,82.20367640384032,115.08514131641056
NBL-1107,2026-07-21/2026-07-27,2026-07-27,3.0,65.48680392187104,58.32445101601229,72.6491568277298
NBL-1108,2026-07-21/2026-07-27,2026-07-27,3.0,260.55159635219763,231.90133579242956,289.2018569119657
NBL-1109,2026-07-21/2026-07-27,2026-07-27,3.0,168.17495126502197,146.79808391946347,189.55181861058048
NBL-1110,2026-07-21/2026-07-27,2026-07-27,3.0,749.3699935314899,711.6482523799065,787.0917346830732
NBL-1111,2026-07-21/2026-07-27,2026-07-27,3.0,286.7163520402442,250.43056254403254,323.00214153645584
NBL-1112,2026-07-21/2026-07-27,2026-07-27,3.0,400.7362489702973,366.6386792578181,434.8338186827765
NBL-1113,2026-07-21/2026-07-27,2026-07-27,3.0,395.04970053690596,357.9825166465547,432.1168844272572
NBL-1114,2026-07-21/2026-07-27,2026-07-27,3.0,292.8291810797225,265.1710849328943,320.4872772265507
NBL-1115,2026-07-21/2026-07-27,2026-07-27,3.0,647.2877510643524,614.0662681948552,680.5092339338496
NBL-1116,2026-07-21/2026-07-27,2026-07-27,3.0,638.8975001707715,611.52104629302,666.273954048523
NBL-1117,2026-07-21/2026-07-27,2026-07-27,3.0,657.8720072778144,623.0852845563693,692.6587299992595
NBL-1118,2026-07-21/2026-07-27,2026-07-27,3.0,613.1793887471282,580.0086609519003,646.3501165423561
NBL-1119,2026-07-21/2026-07-27,2026-07-27,3.0,511.88517186290005,481.4101504353969,542.3601932904032
